index,log_date,log_time,date,time,Baranya,Borsod-Abaúj-Zemplén,Budapest,Bács-Kiskun,Békés,Csongrád,Fejér,Győr-Moson-Sopron,Hajdú-Bihar,Heves,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád,Pest,Somogy,Szabolcs-Szatmár-Bereg,Tolna,Vas,Veszprém,Zala
0,2020.04.09.,21:14,2020.04.02.,00:33,19,6,232,8,3,17,13,26,9,3,5,12,5,98,11,25,7,9,10,7
1,2020.04.09.,21:14,2020.04.02.,14:43,19,6,243,15,3,21,18,28,10,3,7,13,6,122,11,27,7,9,10,7
2,2020.04.09.,21:18,2020.04.03.,11:51,21,6,261,17,4,23,21,28,11,3,7,15,7,126,12,28,7,9,10,7
3,2020.04.09.,21:25,2020.04.04.,14:24,21,6,291,18,6,25,21,33,13,3,7,14,8,134,12,28,7,11,10,10
4,2020.04.09.,21:31,2020.04.05.,07:21,23,7,313,19,8,30,24,34,14,3,8,14,10,142,15,28,10,11,10,10
5,2020.04.09.,21:33,2020.04.06.,06:34,23,7,317,19,8,32,24,34,15,4,8,14,10,142,15,28,12,11,10,11
6,2020.04.09.,21:35,2020.04.07.,07:14,23,7,345,19,9,32,39,36,15,4,10,15,11,153,16,34,13,12,13,11
7,2020.04.09.,21:36,2020.04.08.,06:14,23,7,387,19,10,40,49,37,15,4,10,15,12,164,17,36,13,12,14,11
8,2020.04.09.,22:37,2020.04.09.,10:55,23,10,428,19,11,40,55,37,15,4,11,17,12,183,17,36,13,12,18,19
9,2020.04.10.,10:43,2020.04.10.,07:02,28,10,580,21,11,42,72,43,17,5,12,17,12,194,17,37,13,13,23,23
10,2020.04.11.,10:44,2020.04.11.,07:51,29,13,655,22,11,44,82,44,17,8,13,20,17,199,18,37,13,14,28,26
10,2020.04.12.,13:42,2020.04.12.,07:32,29,44,669,22,11,45,93,60,18,9,14,20,18,215,20,38,13,14,30,28
